HP_0000001	false
HP_0001611	HP_0001608
HP_0001885	HP_0001831
HP_0011965	HP_0004337
HP_0009718	HP_0009592
HP_0011495	HP_0000481
HP_0011484	HP_0007833
HP_0012159	HP_0012158
HP_0004952	HP_0004947
HP_0010222	HP_0010011
HP_0003016	HP_0000944
HP_0002060	HP_0100547
HP_0001684	HP_0001631
HP_0001976	HP_0003256
HP_0100083	HP_0010168
HP_0100083	HP_0010341
HP_0009586	HP_0009544
HP_0009586	HP_0009545
HP_0009586	HP_0009857
HP_0005550	HP_0005558
HP_0012262	HP_0012261
HP_0010041	HP_0010039
HP_0010041	HP_0010049
HP_0100404	HP_0010211
HP_0100404	HP_0010367
HP_0100404	HP_0010370
HP_0010714	HP_0001770
HP_0009160	HP_0009153
HP_0009160	HP_0009382
HP_0009160	HP_0010268
HP_0009419	HP_0009320
HP_0009419	HP_0010237
HP_0001765	HP_0001780
HP_0011230	HP_0000534
HP_0009054	HP_0001430
HP_0009054	HP_0001465
HP_0009717	HP_0002538
HP_0009717	HP_0009731
HP_0001635	HP_0011025
HP_0001460	HP_0011805
HP_0009444	HP_0009772
HP_0009444	HP_0100919
HP_0001622	HP_0001197
HP_0008499	HP_0000540
HP_0009412	HP_0009320
HP_0009412	HP_0010230
HP_0008797	HP_0009107
HP_0008797	HP_0010574
HP_0011644	HP_0011642
HP_0100931	HP_0100926
HP_0100931	HP_0100946
HP_0010786	HP_0007379
HP_0003903	HP_0003891
HP_0003903	HP_0003904
HP_0002753	HP_0003103
HP_0100107	HP_0100051
HP_0100107	HP_0100088
HP_0004742	HP_0012210
HP_0006782	HP_0004377
HP_0008757	HP_0001604
HP_0012201	HP_0012200
HP_0100747	HP_0001780
HP_0100747	HP_0004099
HP_0006432	HP_0002823
HP_0005275	HP_0000429
HP_0005765	HP_0005107
HP_0004330	HP_0002703
HP_0004330	HP_0011001
HP_0005849	HP_0002514
HP_0000658	HP_0000492
HP_0000658	HP_0002186
HP_0100640	HP_0001600
HP_0006206	HP_0009544
HP_0005540	HP_0004447
HP_0004260	HP_0004237
HP_0004260	HP_0004259
HP_0007836	HP_0001131
HP_0100788	HP_0000159
HP_0001531	HP_0001508
HP_0006899	HP_0001317
HP_0008422	HP_0003312
HP_0009657	HP_0009602
HP_0009657	HP_0009774
HP_0004095	HP_0001167
HP_0000678	HP_0000692
HP_0010273	HP_0010233
HP_0010273	HP_0010245
HP_0009575	HP_0009543
HP_0009575	HP_0009546
HP_0009575	HP_0009850
HP_0000340	HP_0000290
HP_0007787	HP_0000523
HP_0011033	HP_0011013
HP_0000280	HP_0001999
HP_0000915	HP_0000767
HP_0009977	HP_0009284
HP_0009977	HP_0009972
HP_0009977	HP_0010006
HP_0100703	HP_0000733
HP_0004020	HP_0004015
HP_0004020	HP_0011849
HP_0009106	HP_0002644
HP_0009106	HP_0011849
HP_0004810	HP_0001908
HP_0001063	HP_0000961
HP_0100515	HP_0000082
HP_0011837	HP_0002720
HP_0010622	HP_0011793
HP_0010622	HP_0011842
HP_0100367	HP_0010337
HP_0100367	HP_0010371
HP_0100367	HP_0010746
HP_0009995	HP_0009987
HP_0009995	HP_0009989
HP_0009995	HP_0010005
HP_0006476	HP_0012093
HP_0001153	HP_0000142
HP_0010968	HP_0003119
HP_0001401	HP_0011040
HP_0001814	HP_0001816
HP_0011576	HP_0006695
HP_0012059	HP_0012056
HP_0000594	HP_0000593
HP_0002342	HP_0001249
HP_0100699	HP_0003549
HP_0006350	HP_0006479
HP_0007627	HP_0005790
HP_0003944	HP_0003943
HP_0011740	HP_0011736
HP_0010525	HP_0010524
HP_0010717	HP_0001770
HP_0002195	HP_0002334
HP_0003308	HP_0003319
HP_0003088	HP_0002758
HP_0006191	HP_0010490
HP_0000448	HP_0005105
HP_0100650	HP_0000142
HP_0100650	HP_0010787
HP_0002500	HP_0010993
HP_0006516	HP_0002088
HP_0004689	HP_0010743
HP_0011333	HP_0000324
HP_0011680	HP_0001750
HP_0004223	HP_0009198
HP_0004223	HP_0009388
HP_0004223	HP_0010252
HP_0002869	HP_0011867
HP_0005700	HP_0011001
HP_0011667	HP_0005301
HP_0001836	HP_0001760
HP_0001836	HP_0100492
HP_0010054	HP_0001832
HP_0010054	HP_0010057
HP_0010054	HP_0010184
HP_0011769	HP_0011768
HP_0006488	HP_0002817
HP_0006488	HP_0006487
HP_0006565	HP_0006561
HP_0100246	HP_0010622
HP_0012185	HP_0012181
HP_0004388	HP_0100811
HP_0007606	HP_0008069
HP_0009779	HP_0001770
HP_0009398	HP_0009174
HP_0009398	HP_0010233
HP_0003198	HP_0011805
HP_0006994	HP_0002352
HP_0002614	HP_0002605
HP_0001663	HP_0004308
HP_0000104	HP_0008678
HP_0008008	HP_0000529
HP_0008008	HP_0007663
HP_0011272	HP_0009913
HP_0009518	HP_0009493
HP_0009518	HP_0009500
HP_0009518	HP_0010262
HP_0010057	HP_0001844
HP_0010057	HP_0010161
HP_0006743	HP_0002859
HP_0006743	HP_0002898
HP_0009768	HP_0001500
HP_0009768	HP_0006009
HP_0010547	HP_0001324
HP_0100541	HP_0004299
HP_0011496	HP_0011495
HP_0006769	HP_0008069
HP_0004338	HP_0004337
HP_0005308	HP_0004414
